"AUTO.ID" "NCTRlogRBA" "AI" "nvx" "nedges" "nrings" "ncircuits" "nclass" "nelem" "ntpaths" "molweight" "nX0" "nX1" "nX2" "nXp3" "nXp4" "nXp5" "nXp6" "nXp7" "nXp8" "nXp9" "nXp10" "X0" "X1" "X2" "Xp3" "Xp4" "Xp5" "Xp6" "Xp7" "Xp8" "Xp9" "Xp10" "Xv0" "Xv1" "Xv2" "Xvp3" "Xvp4" "Xvp5" "Xvp6" "Xvp7" "Xvp8" "Xvp9" "Xvp10" "nXc3" "nXc4" "nXpc4" "nXch5" "nXch6" "Xc3" "Xc4" "Xpc4" "Xch5" "Xch6" "Xvc3" "Xvc4" "Xvpc4" "Xvch5" "Xvch6" "dX0" "dX1" "dX2" "dXp3" "dXp4" "dXp5" "dXp6" "dXp7" "dXp8" "dXp9" "dXp10" "dXv0" "dXv1" "dXv2" "dXvp3" "dXvp4" "dXvp5" "dXvp6" "dXvp7" "dXvp8" "dXvp9" "dXvp10" "k0" "k1" "K2" "k3" "ka1" "ka2" "ka3" "phia" "knotp" "knotpv" "graphcomplexity" "sumdelI" "sumI" "tets1" "tets2" "tets3" "htets1" "htets2" "htets3" "diam" "muldiam" "rad" "mulrad" "ishape" "W" "Wp" "Pf" "WT" "Tg" "Tg3" "Tm" "Tm3" "IDC" "IDCbar" "IDW" "IDWbar" "totop" "Si" "informationcontent" "redundancy" "Qs" "Qsv" "Qv" "nHBd" "nwHBd" "nHBa" "nwHBa" "SHBd" "SwHBd" "SHBa" "SwHBa" "Hmax" "Gmax" "Hmin" "Gmin" "Hmaxpos" "nHBint2" "nHBint3" "nHBint4" "nHBint6" "nHBint8" "SHBint2" "SHBint3" "SHBint4" "SHBint6" "SHBint8" "nd1" "nd2" "nd3" "nd4" "etyp12" "etyp13" "etyp14" "etyp22" "etyp23" "etyp24" "etyp33" "etyp34" "etyp44" "n2Pag11" "n2Pag12" "n2Pag13" "n2Pag22" "n2Pag23" "n2Pag33" "n2Pag34" "n2Pag44" "n3Pad11" "n3Pad12" "n3Pad13" "n3Pad22" "n3Pad23" "n3Pad33" "n3Pad34" "n3Pad44" "n4Pae11" "n4Pae12" "n4Pae13" "n4Pae22" "n4Pae23" "n4Pae24" "n4Pae33" "n4Pae34" "n4Pae44" "nH" "nC" "nN" "nO" "nS" "nCl" "nHsOH" "nHsNH2" "nHssNH" "nHdsCH" "nHaaCH" "nHCHnX" "nHCsats" "nHCsatu" "nsCH3" "nssCH2" "ndsCH" "naaCH" "nsssCH" "ndssC" "naasC" "naaaC" "nssssC" "nsNH2" "nssNH" "naaN" "nsssN" "nsOH" "ndO" "nssO" "naaO" "nsCl" "SHsOH" "SHsNH2" "SHssNH" "SHdsCH" "SHaaCH" "SHCHnX" "SHCsats" "SHCsatu" "SHother" "SsCH3" "SssCH2" "SdsCH" "SaaCH" "SsssCH" "SdssC" "SaasC" "SaaaC" "SssssC" "SsNH2" "SssNH" "SaaN" "SsssN" "SsOH" "SdO" "SssO" "SaaO" "SsCl" "nketone" "namide" "nester" "ncarboxylicacid" "Sketone" "Samide" "Sester" "Scarboxylicacid" "Hcarboxylicacid"
2 -.36 1 20 22 3 4 18 3 858 270.241 20 22 32 43 58 73 79 83 91 95 87 14.275656 9.558551 9.011563 7.499939 6.618296 5.056081 3.635495 2.347049 1.669627 1.110898 .689844 10.199589 5.829514 4.363408 3.01986 2.058505 1.362631 .730908 .400095 .226374 .125783 .060742 8 0 30 0 3 1.58603 0 3.50095 0 .194444 .54158 0 1.032593 0 .063343 -.452267 -.355663 2.354709 3.042832 3.643422 3.077528 2.324835 1.482772 1.102685 .74126 .450567 -7.03648 -5.748838 -3.392823 -2.15993 -1.388709 -.92257 -.777248 -.590158 -.419979 -.293171 -.208572 24.816484 14.917356 6.011719 2.978908 12.710103 4.661029 2.1842 2.962108 -1.811071 -.968202 42.900002 19.620646 55.833328 66.342239 14.118501 4.268969 120.673012 23.150278 6.281955 11 2 6 3 0 781 43 64 6701 4 0 0 0 587.47644 3.091981 5737.725098 7.346639 1.240824 167.635601 24.816484 .046275 3.934952 .52466 .747641 3 0 5 15 8.057798 0 46.076546 9.756783 2.76186 12.381821 1.40543 -.407926 2.76186 0 0 0 0 0 0 0 0 0 0 4 8 8 0 0 4 0 3 10 0 5 0 0 0 0 0 4 3 7 0 0 0 0 0 7 2 8 0 0 2 2 0 9 5 0 12 0 0 10 15 0 5 0 0 3 0 0 0 7 0 0 0 0 0 0 7 0 0 6 2 0 0 0 0 0 3 1 0 1 0 8.0578 0 0 0 10.4702 0 0 0 10.4702 0 0 0 9.6606 0 0 -.0181 .1143 0 0 0 0 0 28.4073 12.3818 0 5.2874 0 0 0 0 0 0 0 0 0 0
3 -.82 1 18 20 3 4 16 3 692 242.274 18 20 28 36 46 62 62 67 74 79 68 12.535168 8.720347 8.031468 6.642969 5.34557 4.713186 3.09572 2.123983 1.541947 1.096673 .620048 9.83569 5.958139 4.59561 3.321571 2.321548 1.716109 .955547 .576128 .33689 .192075 .086381 6 0 20 0 3 1.244017 0 2.599779 0 .219416 .550621 0 1.076582 0 .081297 -.778541 -.193866 2.081721 2.685862 2.724249 2.984633 1.961836 1.384707 1.063394 .789534 .424966 -5.240322 -4.116183 -2.113629 -1.129564 -.618688 -.216445 -.307379 -.243642 -.190977 -.144557 -.125755 21.390785 13.005 5.551021 2.962963 11.412657 4.534956 2.318973 2.875327 -1.221588 -.827761 38.444443 11.231943 42.166672 108.179718 21.795557 6.20125 99.302788 19.577385 5.460056 11 2 6 3 0 623 36 56 5314 2 0 0 0 476.062073 3.111517 4369.17627 7.013124 1.188377 129.634514 21.390785 .053292 4.920057 .683341 .956678 2 0 3 12 5.147551 0 24.357285 16.027554 2.589137 9.393913 .846545 .233179 2.589137 0 0 0 0 0 0 0 0 0 0 2 10 6 0 0 2 0 4 12 0 2 0 0 0 0 0 6 6 2 0 0 0 0 0 16 2 7 0 0 0 0 0 14 8 0 6 0 0 14 15 0 3 0 0 2 0 0 0 7 0 1 2 0 2 0 7 1 0 5 0 0 0 0 0 0 2 0 1 0 0 5.1476 0 0 0 9.302 0 .9395 1.7792 9.302 0 1.4877 0 12.48 .2941 0 3.5475 0 0 0 0 0 0 18.6782 0 5.679 0 0 0 0 0 0 0 0 0 0 0
4 -1.65 1 19 21 3 4 17 3 767 254.242 19 21 30 40 52 68 71 76 82 84 74 13.405413 9.147867 8.462433 7.190911 5.912204 4.921682 3.393877 2.259066 1.579737 1.052368 .622244 9.829725 5.68924 4.205838 2.9365 1.95725 1.343387 .701426 .392191 .222085 .122489 .05729 7 0 26 0 3 1.375299 0 3.158008 0 .20693 .486699 0 .945981 0 .066565 -.615403 -.266346 2.159132 2.983804 3.114107 3.068129 2.171605 1.457289 1.05699 .71398 .405064 -6.353982 -5.154722 -3.037988 -1.885836 -1.240649 -.767958 -.685517 -.51357 -.365383 -.255435 -.183442 23.092199 13.959184 5.78 2.88 11.799887 4.438482 2.083033 2.756504 -1.460654 -.847008 40.36842 15.769881 50.166668 84.674393 17.08564 4.870834 109.656883 21.460758 5.933269 11 2 6 3 0 694 40 60 5920 3 0 0 0 528.263184 3.089258 4987.813965 7.187052 1.215379 153.228431 23.092199 .04956 4.135915 .563294 .79625 2 0 4 15 5.235938 0 36.281601 13.885068 2.63772 12.320989 1.38668 -.17413 2.63772 0 0 0 0 0 0 0 0 0 0 3 9 7 0 0 3 0 4 10 0 4 0 0 0 0 0 4 5 4 0 0 0 0 0 10 2 7 0 0 0 3 0 11 5 0 9 0 0 10 15 0 4 0 0 2 0 0 0 8 0 0 0 0 0 0 8 0 0 5 2 0 0 0 0 0 2 1 0 1 0 5.2359 0 0 0 11.6422 0 0 0 11.6422 0 0 0 12.043 0 0 1.0959 .7462 0 0 0 0 0 18.594 12.321 0 5.3666 0 0 0 0 0 0 0 0 0 0
5 -2.98 1 20 22 3 4 18 3 857 268.268 20 22 31 42 54 70 75 82 88 90 84 14.112519 9.685871 8.631536 7.599159 6.222821 5.031982 3.575409 2.472193 1.731301 1.10428 .698433 10.79076 6.078006 4.387466 3.159213 2.086839 1.404432 .769067 .449284 .244296 .134579 .067971 7 0 27 0 3 1.290748 0 3.242559 0 .20693 .480204 0 1.006524 0 .066565 -.615403 -.228342 1.974681 3.142052 3.247947 3.053428 2.264749 1.607916 1.164359 .734641 .459156 -6.176515 -5.323011 -3.252372 -1.944639 -1.31118 -.849166 -.718993 -.528351 -.394259 -.279657 -.198569 24.816484 14.917356 6.405827 3.122449 12.748128 5.015129 2.308995 3.196675 -1.411125 -.841519 42.849998 14.398239 49.666672 109.614059 21.867357 6.254944 118.935066 22.757046 6.220637 12 2 6 1 1 821 42 62 6847 3 0 1 0 609.004211 3.205285 6015.086426 7.326536 1.240824 159.44533 24.816484 .046275 4.918696 .635332 .897662 1 0 4 15 2.638903 0 32.324524 15.752989 2.638903 12.42178 .742931 -.128318 2.638903 0 0 0 0 0 0 0 0 0 0 3 10 7 0 1 2 0 4 11 0 4 0 0 0 0 0 6 5 4 0 0 0 0 0 12 2 7 0 0 0 3 0 11 5 0 9 0 0 12 16 0 4 0 0 1 0 0 0 8 0 1 0 1 0 0 8 0 0 5 2 0 0 0 0 0 1 1 1 1 0 2.6389 0 0 0 11.6916 0 .7429 0 11.6916 1.5892 0 0 13.0429 0 0 1.9014 .8087 0 0 0 0 0 9.3892 12.4218 5.0894 5.4242 0 0 0 0 0 0 0 0 0 0
6 -2.31 1 15 15 1 1 13 3 173 206.327 15 15 17 18 19 22 17 14 13 12 10 10.932874 7.325698 5.682339 4.101355 2.831133 2.241825 1.261119 .711395 .455479 .307125 .181086 9.706361 6.105634 4.184214 2.755345 1.772069 1.191133 .669719 .393494 .228687 .145403 .07536 2 0 5 0 1 .492799 0 .841261 0 .083333 .192387 0 .305482 0 .027778 -.259515 -.088515 .793252 .894248 .740143 .888271 .3924 .159618 .109508 .093737 .052295 -2.184363 -1.760382 -.994653 -.635669 -.434118 -.233378 -.241751 -.183263 -.131236 -.075227 -.056695 16.437248 13.066667 8.186852 6.222222 12.250522 7.468837 5.581523 6.09981 -.348462 -.197142 11.533334 4.465724 29.833332 48.123989 13.014985 4.50669 29.744989 7.624111 2.547087 12 2 6 1 1 482 18 34 987 2 0 1 0 349.338562 3.327034 3098.612793 6.428658 1.095817 65.155368 16.437248 .068255 5.856559 1.062857 1.522705 1 0 1 6 2.508206 0 9.125369 9.270079 2.508206 9.125369 .337704 .362681 2.508206 0 0 0 0 0 0 0 0 0 0 2 11 2 0 1 1 0 8 5 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 12 0 2 0 0 0 0 0 9 0 0 0 0 0 22 14 0 1 0 0 1 0 0 0 4 0 7 1 1 7 0 4 0 0 2 0 0 0 0 0 0 1 0 0 0 0 2.5082 0 0 0 4.8278 0 3.0683 .6256 4.8278 2.2465 9.1914 0 7.571 0 0 1.6991 0 0 0 0 0 0 9.1254 0 0 0 0 0 0 0 0 0 0 0 0 0
7 -10000 0 18 19 2 2 15 3 361 318.029 18 19 26 33 42 50 42 43 38 26 18 13.120955 8.592224 7.766915 6.046858 4.975821 4.055444 2.152763 1.480379 .868245 .405203 .18167 12.154377 6.666505 5.415179 3.424603 2.424952 1.71495 .768076 .477985 .226759 .086967 .02965 6 0 22 0 2 1.271571 0 2.698459 0 .166667 .892076 0 1.508593 0 .055556 -.192754 -.321989 1.817168 2.089751 2.3545 2.326891 1.018879 .741102 .389692 .098065 -.013413 -1.264165 -2.319833 -.584152 -.566563 -.219744 -.029631 -.376787 -.268805 -.25693 -.223678 -.167823 20.788725 14.409972 6.43787 3.526171 13.764313 5.988107 3.226412 4.57901 -1.266412 -1.072397 20.055555 8.90589 42.444447 79.053398 18.897505 5.928378 65.93911 15.797942 4.949699 9 2 5 2 0 581 33 52 2135 4 0 0 0 440.239197 2.87738 4106.798828 7.068501 1.154929 99.554971 20.788725 .079937 5.035717 .777117 1.119048 0 0 4 14 0 0 23.98789 18.456554 1.377133 6.166708 1.232318 .171687 1.377133 0 0 0 0 0 0 0 0 0 0 4 8 6 0 0 4 0 5 6 0 4 0 0 1 1 0 4 2 4 0 0 0 2 0 6 0 4 0 0 0 4 0 6 2 0 2 0 0 8 14 0 0 0 4 0 0 0 0 8 0 0 0 0 0 0 8 0 2 4 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 10.5967 0 0 0 10.5967 0 0 0 14.6749 0 .8667 2.915 0 0 0 0 0 0 0 0 0 0 23.9879 0 0 0 0 0 0 0 0 0
10 -10000 0 28 28 1 1 14 3 624 390.562 28 28 34 41 46 52 48 48 50 49 44 20.777809 13.56561 10.554441 8.483727 6.117351 4.734595 2.946886 1.708619 1.201918 .795762 .479323 18.168161 10.999114 7.575512 5.353704 3.177911 2.07339 1.069309 .457962 .290027 .166666 .093996 6 0 22 0 1 1.151818 0 2.931082 0 .083333 .635919 0 1.368981 0 .027778 .393033 -.348604 1.06916 2.02662 1.728263 1.756042 .929119 .344343 .281423 .176124 .06327 -4.900465 -4.735581 -3.142395 -1.936357 -1.772839 -1.282997 -1.201965 -1.07591 -.743559 -.52811 -.371772 32.091583 26.035715 15.788927 10.053539 24.517763 14.474054 9.027482 12.67398 -1.068705 -.827451 22.285715 19.033504 61.333336 88.920486 20.855108 6.825248 87.814575 18.722048 5.662628 17 2 9 2 0 2388 41 68 5086 6 0 4 0 1425.602783 3.771436 19853.710938 8.313949 1.146128 146.798001 32.091583 .208015 9.170132 .935728 1.356805 0 0 4 8 0 0 36.183899 6.468531 1.459791 12.569784 .411431 -.44396 1.459791 0 0 0 0 0 0 0 0 0 0 6 16 6 0 4 2 0 9 10 0 3 0 0 0 0 0 10 2 2 0 0 0 4 0 12 0 3 0 0 0 4 2 14 0 0 2 0 0 38 24 0 4 0 0 0 0 0 0 4 0 16 0 4 10 0 4 2 2 2 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 5.5646 0 9.7626 0 5.5646 8.5439 9.4021 0 6.7741 .735 -.8879 .5823 0 0 0 0 0 0 0 25.1396 11.0443 0 0 0 0 2 0 0 0 35.296 0 0
12 1.48 1 23 24 2 3 23 3 839 322.4 23 24 32 38 48 52 58 51 56 55 61 16.819626 10.969234 9.883535 7.277573 6.307247 4.099601 3.3333 1.814241 1.404562 .86662 .695723 13.624392 8.409712 6.399008 4.327777 3.059962 1.969984 1.348996 .786049 .530773 .335029 .227119 7 0 22 0 1 1.615208 0 2.871887 0 .055556 .64108 0 1.041448 0 .020833 -.029617 -.444979 2.16602 2.070465 2.802043 1.746047 1.757474 .762465 .705038 .403231 .390155 -5.999026 -4.864635 -2.562046 -1.707892 -.995237 -.747099 -.46594 -.422116 -.270363 -.193866 -.120283 31.319733 19.326389 9.474609 6.094183 18.074217 8.545321 5.390549 6.715216 -1.60771 -.801052 36.47826 21.376875 57.5 74.032066 15.272988 4.644119 103.612808 19.592495 5.531627 10 5 7 7 0 1150 38 64 7936 5 0 1 0 791.125671 3.126979 8961.999023 7.793043 1.361727 142.088075 31.319733 0 5.733333 .695442 1.00252 3 0 5 7 7.826369 0 47.406036 2.60775 2.723336 12.368976 .621695 -.553141 2.723336 0 0 0 0 0 0 0 0 0 0 5 11 7 0 0 5 0 6 10 0 3 0 0 0 2 0 8 0 6 0 0 0 2 1 6 0 3 0 0 3 7 0 12 0 0 8 0 0 26 18 0 5 0 0 3 0 0 0 2 0 10 1 1 8 0 2 2 1 4 0 0 0 0 0 0 3 1 1 0 0 7.8264 0 0 0 2.9666 0 7.2304 .8606 2.9666 1.8128 6.243 0 2.6864 -.5695 -.5531 .4744 0 0 0 0 0 0 29.6217 12.369 5.4154 0 0 0 0 1 0 0 0 17.2312 0 0
14 -10000 0 22 24 3 4 22 3 1045 302.24 22 24 36 49 65 84 95 103 109 118 109 16.016144 10.379919 10.036779 8.611631 7.131958 5.54728 4.113443 2.80224 1.803736 1.235103 .756786 10.939314 6.123141 4.650443 3.172955 2.135462 1.40972 .773579 .424831 .23236 .129902 .062659 10 0 38 0 3 1.961209 0 4.746401 0 .168958 .630907 0 1.172584 0 .057647 -.125992 -.534294 2.672818 3.654524 3.803531 3.318727 2.626006 1.812963 1.148406 .802965 .473315 -8.279072 -6.845109 -4.080242 -2.689971 -1.790627 -1.211143 -.969838 -.730301 -.529535 -.370015 -.263382 29.5333 16.84375 6.481482 3.165348 14.543228 5.108908 2.370992 3.377274 -2.172283 -1.184356 47.5 27.047327 67.166664 101.753365 20.838917 6.065603 142.971405 26.570129 7.014358 10 4 5 1 1 986 49 72 8350 6 2 0 0 717.251282 3.104984 7533.785156 7.640756 1.342423 196.672295 29.5333 -0 3.683441 .469309 .677327 5 0 7 15 13.836671 0 65.405602 1.761061 2.870065 12.142875 1.511124 -.887672 2.870065 0 0 0 0 0 0 0 0 0 0 6 6 10 0 0 6 0 1 10 0 7 0 0 0 0 0 3 2 10 0 0 2 0 0 4 2 12 0 0 2 0 0 5 2 0 18 0 0 10 15 0 7 0 0 5 0 0 0 5 0 0 0 0 0 0 5 0 0 8 2 0 0 0 0 0 5 1 0 1 0 13.8367 0 0 0 7.8932 0 0 0 7.8932 0 0 0 5.6409 0 0 -3.4677 -.4121 0 0 0 0 0 47.9095 12.1429 0 5.3532 0 0 0 0 0 0 0 0 0 0
15 -2.35 1 21 23 3 4 21 3 942 286.24 21 23 34 46 59 79 87 94 99 105 93 15.145899 9.969235 9.487648 8.302604 6.429213 5.393909 3.907469 2.676303 1.718931 1.165862 .68204 10.569451 5.982867 4.492874 3.089596 2.032338 1.392998 .748808 .413577 .227222 .126687 .059485 9 0 34 0 3 1.750479 0 4.40346 0 .181444 .576027 0 1.085972 0 .06087 -.28913 -.444978 2.47724 3.595496 3.277562 3.290355 2.50842 1.749526 1.107795 .764974 .420666 -7.675376 -6.301847 -3.757924 -2.436435 -1.657253 -1.061855 -.878084 -.659768 -.477272 -.332945 -.238286 27.7666 15.879017 6.245675 3.062382 13.624737 4.884563 2.268845 3.16909 -1.821866 -1.063163 44.857143 23.313135 61.499992 79.047791 16.410728 4.827353 130.858414 24.785669 6.662292 10 3 5 1 1 878 46 68 7447 5 2 0 0 646.14386 3.076875 6587.304199 7.502625 1.322219 181.646385 27.7666 0 3.789412 .494084 .708904 4 0 6 15 10.939937 0 55.68721 5.812788 2.836732 12.082042 1.445192 -.653875 2.836732 0 0 0 0 0 0 0 0 0 0 5 7 9 0 0 5 0 2 10 0 6 0 0 0 0 0 3 4 7 0 0 2 0 0 7 3 11 0 0 0 1 0 5 4 0 14 0 0 10 15 0 6 0 0 4 0 0 0 6 0 0 0 0 0 0 6 0 0 7 2 0 0 0 0 0 4 1 0 1 0 10.9399 0 0 0 9.1747 0 0 0 9.1747 0 0 0 7.6383 0 0 -2.0453 .2198 0 0 0 0 0 38.1728 12.082 0 5.4324 0 0 0 0 0 0 0 0 0 0
